Sale Date,Product,Sales Amount,Region,Sales Rep,Payment Method
2024-12-08 07:22:45.816903,Smartphone,403.08,South,Charlie,Cash
2024-05-09 07:22:45.816906,Printer,46.53,East,Charlie,Credit Card
2024-03-24 07:22:45.816910,Headphones,493.57,East,David,Credit Card
2024-06-18 07:22:45.816912,Laptop,388.4,North,Charlie,Cash
2024-07-09 07:22:45.816915,Printer,107.37,North,Charlie,Credit Card
2024-12-16 07:22:45.816917,TV,12.71,West,Alice,Online Payment
2024-10-07 07:22:45.816920,Tablet,409.58,South,David,Credit Card
2024-12-11 07:22:45.816923,Mouse,356.36,East,Charlie,Online Payment
2024-05-31 07:22:45.816926,TV,367.21,South,Bob,Credit Card
2024-03-03 07:22:45.816928,Headphones,387.92,South,Charlie,Cash
2024-08-04 07:22:45.816931,Smartphone,46.28,West,Eva,Online Payment
2024-06-04 07:22:45.816934,Tablet,185.65,North,Alice,Cash
2024-10-27 07:22:45.816936,Tablet,66.78,South,Alice,Credit Card
2024-06-14 07:22:45.816939,Tablet,432.92,North,David,Credit Card
2024-04-21 07:22:45.816941,TV,315.42,North,David,Credit Card
2024-09-28 07:22:45.816944,Camera,172.14,South,Bob,Online Payment
2024-11-22 07:22:45.816947,Mouse,41.14,West,David,Credit Card
2024-02-08 07:22:45.816950,TV,162.38,West,Alice,Cash
2024-05-23 07:22:45.816952,Headphones,169.34,West,Eva,Cash
2024-08-17 07:22:45.816955,Smartphone,367.51,South,Bob,Cash
2024-12-13 07:22:45.816960,Laptop,322.4,West,Charlie,Online Payment
2024-07-28 07:22:45.816964,Smartwatch,444.73,West,Bob,Bank Transfer
2024-05-06 07:22:45.816969,Smartwatch,241.39,South,Charlie,Bank Transfer
2024-01-09 07:22:45.816984,Camera,68.6,North,David,Cash
2024-01-20 07:22:45.816993,Smartwatch,359.49,East,Alice,Bank Transfer
2024-05-08 07:22:45.816996,Laptop,382.78,South,Charlie,Online Payment
2024-11-03 07:22:45.816998,TV,285.03,South,Eva,Cash
2024-03-02 07:22:45.817001,Headphones,387.77,West,Alice,Online Payment
2024-08-04 07:22:45.817003,Smartwatch,251.96,North,Charlie,Online Payment
2024-02-20 07:22:45.817007,TV,266.14,North,David,Credit Card
2024-03-16 07:22:45.817009,Keyboard,219.5,South,Eva,Online Payment
2024-07-08 07:22:45.817012,Mouse,22.46,West,Eva,Credit Card
2024-06-28 07:22:45.817015,Tablet,62.87,East,David,Online Payment
2024-02-26 07:22:45.817017,TV,25.4,West,Eva,Online Payment
2024-01-05 07:22:45.817020,Headphones,321.84,South,Alice,Online Payment
2024-09-13 07:22:45.817023,Tablet,164.03,West,David,Credit Card
2024-10-30 07:22:45.817025,Printer,259.2,East,David,Credit Card
2024-07-26 07:22:45.817028,Keyboard,454.71,South,Eva,Cash
2024-01-17 07:22:45.817031,TV,132.15,South,Bob,Online Payment
2024-11-27 07:22:45.817034,Mouse,211.09,North,David,Online Payment
2024-09-24 07:22:45.817038,Tablet,380.22,West,Charlie,Credit Card
2024-04-11 07:22:45.817042,Laptop,122.11,East,Charlie,Credit Card
2024-09-08 07:22:45.817047,Smartwatch,47.72,West,Charlie,Credit Card
2024-06-21 07:22:45.817051,Smartphone,151.98,East,David,Bank Transfer
2024-12-28 07:22:45.817056,Mouse,89.0,West,Charlie,Cash
2024-01-10 07:22:45.817060,Smartwatch,465.55,West,Charlie,Cash
2024-10-12 07:22:45.817065,TV,405.98,East,Alice,Bank Transfer
2024-09-03 07:22:45.817069,TV,320.37,North,Alice,Bank Transfer
2024-09-16 07:22:45.817075,Printer,437.02,North,Eva,Bank Transfer
2024-05-11 07:22:45.817088,Laptop,403.8,East,Alice,Credit Card
2024-08-11 07:22:45.817090,Keyboard,101.42,East,Charlie,Cash
2024-10-17 07:22:45.817093,Keyboard,447.35,South,Bob,Credit Card
2024-08-23 07:22:45.817096,Camera,274.28,East,Alice,Online Payment
2024-02-11 07:22:45.817099,Camera,405.65,West,Charlie,Cash
2024-09-07 07:22:45.817101,Camera,449.08,South,Alice,Bank Transfer
2024-10-21 07:22:45.817104,Camera,165.82,North,Bob,Cash
2024-05-17 07:22:45.817106,Printer,63.93,West,Alice,Bank Transfer
2024-11-24 07:22:45.817109,Tablet,121.69,West,Alice,Bank Transfer
2024-09-14 07:22:45.817111,Tablet,219.28,East,David,Credit Card
2024-10-12 07:22:45.817114,Camera,410.83,North,Bob,Online Payment
2024-09-01 07:22:45.817117,TV,431.76,South,Bob,Cash
2024-08-29 07:22:45.817120,TV,13.41,South,Bob,Online Payment
2024-05-14 07:22:45.817122,TV,260.27,West,David,Cash
2024-10-26 07:22:45.817125,Headphones,214.53,South,David,Cash
2024-10-07 07:22:45.817128,Tablet,118.83,North,Charlie,Credit Card
2024-11-28 07:22:45.817140,Printer,68.73,North,Bob,Cash
2024-02-16 07:22:45.817143,TV,175.43,North,Alice,Bank Transfer
2024-09-21 07:22:45.817146,Smartphone,472.03,North,Eva,Cash
2024-09-12 07:22:45.817149,Printer,168.37,North,Eva,Bank Transfer
2024-04-29 07:22:45.817151,Tablet,264.21,South,Bob,Bank Transfer
2024-05-21 07:22:45.817154,Mouse,354.48,North,Bob,Online Payment
2024-05-06 07:22:45.817156,Smartwatch,188.18,North,Alice,Credit Card
2024-02-11 07:22:45.817160,Smartphone,486.17,West,Bob,Bank Transfer
2024-07-28 07:22:45.817165,Printer,481.6,South,Alice,Credit Card
2024-09-10 07:22:45.817169,Smartwatch,133.37,East,Bob,Credit Card
2024-03-21 07:22:45.817174,Printer,253.65,East,David,Credit Card
2024-08-03 07:22:45.817179,Mouse,157.43,West,David,Cash
2024-01-07 07:22:45.817183,Smartphone,149.57,East,Bob,Online Payment
2024-01-09 07:22:45.817188,Keyboard,28.07,South,Alice,Cash
2024-11-02 07:22:45.817193,TV,308.69,West,Charlie,Bank Transfer
2024-06-21 07:22:45.817197,Printer,256.31,East,Eva,Cash
2024-07-30 07:22:45.817202,Headphones,35.22,South,Bob,Bank Transfer
2024-07-11 07:22:45.817207,Laptop,146.54,West,Eva,Bank Transfer
2024-02-26 07:22:45.817212,Laptop,455.05,West,Eva,Online Payment
2024-01-15 07:22:45.817217,Camera,127.39,East,David,Online Payment
2024-05-08 07:22:45.817220,Headphones,81.0,East,David,Cash
2024-02-18 07:22:45.817223,Laptop,249.83,North,Alice,Cash
2024-07-19 07:22:45.817226,Smartwatch,492.97,South,Bob,Credit Card
2024-10-20 07:22:45.817228,Tablet,128.61,East,Alice,Online Payment
2024-12-25 07:22:45.817231,Keyboard,339.35,East,David,Credit Card
2024-06-11 07:22:45.817233,Laptop,383.19,West,Alice,Cash
2024-05-15 07:22:45.817236,Keyboard,126.44,East,Eva,Cash
2024-06-27 07:22:45.817239,Smartphone,366.83,South,Alice,Bank Transfer
2024-02-26 07:22:45.817241,Smartphone,190.21,East,Bob,Online Payment
2024-04-24 07:22:45.817244,Keyboard,319.83,East,Bob,Online Payment
2024-08-16 07:22:45.817247,Smartwatch,320.43,South,Bob,Credit Card
2024-10-16 07:22:45.817249,TV,272.53,North,Bob,Cash
2024-08-23 07:22:45.817252,Laptop,54.24,West,Bob,Bank Transfer
2024-10-17 07:22:45.817254,Smartphone,419.3,East,Alice,Credit Card
2024-10-29 07:22:45.817257,Camera,167.18,East,Alice,Online Payment
2024-06-10 07:22:45.817260,Keyboard,101.39,West,Eva,Online Payment
2024-02-02 07:22:45.817262,Smartphone,29.98,North,Bob,Cash
2024-06-22 07:22:45.817266,Mouse,299.54,North,Bob,Bank Transfer
2024-02-12 07:22:45.817268,Smartphone,342.01,South,Bob,Credit Card
2024-06-14 07:22:45.817271,Camera,18.13,East,Alice,Credit Card
2024-07-19 07:22:45.817274,TV,260.93,South,Charlie,Cash
2024-06-08 07:22:45.817277,Smartwatch,120.98,East,Charlie,Bank Transfer
2024-02-20 07:22:45.817280,Camera,326.13,North,David,Credit Card
2024-09-20 07:22:45.817282,TV,95.44,East,Bob,Online Payment
2024-09-23 07:22:45.817285,Camera,348.56,West,Bob,Cash
2024-08-11 07:22:45.817290,Smartwatch,199.5,West,David,Bank Transfer
2024-06-04 07:22:45.817293,Mouse,469.0,West,Alice,Credit Card
2024-02-26 07:22:45.817296,Laptop,77.39,West,Bob,Online Payment
2024-05-29 07:22:45.817298,TV,177.12,West,David,Credit Card
2024-08-25 07:22:45.817301,Laptop,65.6,West,Charlie,Cash
2024-10-27 07:22:45.817304,Headphones,463.1,West,Eva,Cash
2024-08-07 07:22:45.817307,Printer,439.9,North,Charlie,Cash
2024-06-28 07:22:45.817309,Smartphone,136.39,South,Eva,Credit Card
2024-12-11 07:22:45.817312,Camera,333.39,East,Alice,Online Payment
2024-05-13 07:22:45.817314,Smartwatch,410.44,South,David,Cash
2024-07-01 07:22:45.817317,Camera,282.05,South,Alice,Bank Transfer
2024-11-22 07:22:45.817319,Tablet,269.53,North,Bob,Credit Card
2024-08-19 07:22:45.817322,Tablet,128.51,North,Eva,Cash
2024-10-30 07:22:45.817325,Keyboard,55.62,North,Eva,Online Payment
2024-08-21 07:22:45.817327,Laptop,449.64,South,Charlie,Bank Transfer
2024-02-15 07:22:45.817330,TV,451.2,West,Eva,Credit Card
2024-03-24 07:22:45.817333,Printer,320.22,West,David,Bank Transfer
2024-08-14 07:22:45.817336,Keyboard,176.12,North,Charlie,Bank Transfer
2024-01-18 07:22:45.817338,Smartphone,181.11,South,Alice,Online Payment
2024-02-01 07:22:45.817341,Camera,365.72,North,Alice,Bank Transfer
2024-05-31 07:22:45.817344,Keyboard,449.58,North,Eva,Bank Transfer
2024-04-13 07:22:45.817347,Laptop,444.67,East,Alice,Cash
2024-06-27 07:22:45.817349,Tablet,392.14,South,David,Online Payment
2024-08-25 07:22:45.817352,Laptop,324.6,South,Bob,Online Payment
2024-04-11 07:22:45.817355,Keyboard,51.23,West,Bob,Cash
2024-06-29 07:22:45.817357,Printer,89.2,South,Charlie,Credit Card
2024-03-25 07:22:45.817360,Camera,450.29,North,Alice,Cash
2024-12-09 07:22:45.817363,Keyboard,307.15,North,Eva,Cash
2024-12-06 07:22:45.817366,Laptop,14.51,North,Eva,Credit Card
2024-11-03 07:22:45.817371,Printer,59.72,South,David,Cash
2024-08-21 07:22:45.817375,Mouse,335.12,West,Bob,Bank Transfer
2024-11-17 07:22:45.817379,TV,12.48,East,Charlie,Credit Card
2024-04-06 07:22:45.817384,Tablet,88.8,East,Eva,Credit Card
2024-01-02 07:22:45.817389,Smartwatch,278.88,North,Bob,Online Payment
2024-10-17 07:22:45.817393,Headphones,349.03,North,Eva,Cash
2024-12-01 07:22:45.817398,Printer,329.46,East,Eva,Credit Card
2024-05-15 07:22:45.817412,Laptop,119.89,East,Charlie,Cash
2024-05-06 07:22:45.817416,Camera,358.97,West,David,Credit Card
2024-10-17 07:22:45.817419,Headphones,126.25,South,Alice,Cash
2024-09-23 07:22:45.817421,Keyboard,169.45,East,David,Online Payment
2024-02-24 07:22:45.817423,Smartphone,375.78,South,David,Online Payment
2024-04-18 07:22:45.817426,Mouse,328.32,West,Alice,Credit Card
2024-04-18 07:22:45.817429,Printer,426.12,West,David,Bank Transfer
2024-05-17 07:22:45.817431,Smartwatch,332.23,South,David,Online Payment
2024-03-04 07:22:45.817434,Keyboard,288.47,South,David,Credit Card
2024-08-19 07:22:45.817436,Laptop,55.9,South,Charlie,Online Payment
2024-02-22 07:22:45.817439,Smartphone,190.18,East,David,Credit Card
2024-01-28 07:22:45.817441,Camera,139.95,West,David,Online Payment
2024-09-12 07:22:45.817444,Keyboard,129.55,South,Alice,Cash
2024-07-13 07:22:45.817446,Mouse,486.78,South,Eva,Cash
2024-12-13 07:22:45.817449,Smartphone,202.62,West,Bob,Cash
2024-09-30 07:22:45.817451,Tablet,447.1,North,David,Credit Card
2024-06-10 07:22:45.817454,Smartphone,319.26,East,David,Online Payment
2024-04-12 07:22:45.817456,TV,399.46,South,Bob,Credit Card
2024-02-25 07:22:45.817459,Tablet,256.29,West,Bob,Online Payment
2024-06-12 07:22:45.817461,Keyboard,292.68,West,Eva,Cash
2024-05-25 07:22:45.817464,Camera,251.33,West,Eva,Credit Card
2024-06-02 07:22:45.817467,Printer,105.67,West,Bob,Online Payment
2024-08-12 07:22:45.817469,Smartphone,364.0,West,Eva,Cash
2024-07-25 07:22:45.817472,Keyboard,147.58,East,Alice,Online Payment
2024-12-30 07:22:45.817474,Headphones,21.91,East,David,Bank Transfer
2024-07-07 07:22:45.817477,Smartphone,326.28,East,Charlie,Cash
2024-07-23 07:22:45.817479,Smartphone,96.78,South,Bob,Online Payment
2024-02-08 07:22:45.817482,Headphones,470.82,East,Charlie,Online Payment
2024-03-10 07:22:45.817484,Printer,477.43,South,Charlie,Online Payment
2024-10-25 07:22:45.817487,Tablet,458.28,West,Alice,Credit Card
2024-02-12 07:22:45.817489,Laptop,191.38,East,David,Cash
2024-09-01 07:22:45.817492,Camera,17.57,South,Bob,Bank Transfer
2024-07-25 07:22:45.817494,Camera,464.88,North,David,Cash
2024-04-29 07:22:45.817497,Tablet,219.81,East,David,Bank Transfer
2024-10-26 07:22:45.817499,Smartwatch,483.66,West,Alice,Bank Transfer
2024-03-31 07:22:45.817502,Smartwatch,482.17,North,Eva,Online Payment
2024-08-10 07:22:45.817504,Laptop,427.97,West,David,Bank Transfer
2024-03-03 07:22:45.817507,Mouse,154.28,South,Charlie,Bank Transfer
2024-11-16 07:22:45.817509,Keyboard,198.7,West,Eva,Cash
2024-01-10 07:22:45.817512,Smartphone,427.06,North,Bob,Cash
2024-11-05 07:22:45.817514,Smartphone,165.29,West,Bob,Credit Card
2024-06-12 07:22:45.817517,TV,93.05,East,Charlie,Credit Card
2024-09-20 07:22:45.817519,Laptop,282.83,North,Eva,Credit Card
2024-01-14 07:22:45.817522,Headphones,468.72,East,David,Bank Transfer
2024-12-31 07:22:45.817525,Smartphone,351.05,East,Charlie,Credit Card
2024-05-18 07:22:45.817528,Headphones,289.33,West,Bob,Online Payment
2024-06-29 07:22:45.817530,Printer,57.62,West,Charlie,Cash
2024-04-14 07:22:45.817533,TV,311.35,North,Bob,Online Payment
2024-07-17 07:22:45.817535,Mouse,495.13,East,Charlie,Online Payment
2024-07-18 07:22:45.817538,Mouse,78.64,South,Charlie,Credit Card
2024-08-17 07:22:45.817540,Smartphone,263.98,East,Eva,Online Payment
2024-12-15 07:22:45.817543,TV,439.91,West,Charlie,Online Payment
2024-11-09 07:22:45.817545,Camera,372.98,East,Bob,Credit Card
2024-11-28 07:22:45.817548,Printer,351.54,South,Charlie,Cash
2024-11-17 07:22:45.817550,Smartphone,354.22,West,Charlie,Bank Transfer
2024-05-08 07:22:45.817553,Printer,186.15,East,Alice,Credit Card
2024-11-08 07:22:45.817556,TV,153.86,West,Bob,Credit Card
2024-02-11 07:22:45.817558,Smartphone,406.59,East,David,Cash
2024-09-16 07:22:45.817561,Printer,406.96,North,Alice,Bank Transfer
2024-06-26 07:22:45.817563,Smartphone,434.87,North,David,Online Payment
2024-01-29 07:22:45.817566,Camera,457.49,West,Charlie,Credit Card
2024-08-02 07:22:45.817568,Laptop,260.56,West,Eva,Online Payment
2024-05-15 07:22:45.817571,Laptop,255.74,West,Alice,Cash
2024-04-26 07:22:45.817573,Smartwatch,401.16,West,Alice,Credit Card
2024-08-08 07:22:45.817576,Smartwatch,328.48,West,Alice,Cash
2024-07-04 07:22:45.817579,Camera,353.96,South,David,Bank Transfer
2024-02-06 07:22:45.817581,Printer,399.94,North,Alice,Bank Transfer
2024-07-22 07:22:45.817583,Laptop,446.1,West,Eva,Cash
2024-06-24 07:22:45.817586,Printer,175.62,West,Alice,Bank Transfer
2024-08-10 07:22:45.817589,TV,194.04,East,Eva,Credit Card
2024-06-17 07:22:45.817591,Camera,56.05,West,Bob,Cash
2024-10-16 07:22:45.817593,Smartphone,293.36,South,David,Online Payment
2024-08-24 07:22:45.817596,Smartwatch,27.61,South,Charlie,Cash
2024-08-05 07:22:45.817598,Printer,238.14,West,Charlie,Credit Card
2024-02-26 07:22:45.817600,Tablet,275.9,North,Bob,Cash
2024-09-16 07:22:45.817603,Smartwatch,150.41,North,Charlie,Credit Card
2024-02-24 07:22:45.817606,Smartwatch,299.51,East,David,Online Payment
2024-03-01 07:22:45.817608,Laptop,24.95,East,Charlie,Cash
2024-01-05 07:22:45.817611,Laptop,28.3,West,Eva,Bank Transfer
2024-11-23 07:22:45.817613,TV,413.07,North,Alice,Online Payment
2024-01-11 07:22:45.817616,Smartwatch,186.49,South,Eva,Credit Card
2024-09-17 07:22:45.817618,Mouse,72.26,East,Alice,Online Payment
2024-11-10 07:22:45.817621,TV,265.9,North,Alice,Bank Transfer
2024-11-05 07:22:45.817623,Laptop,387.3,East,Bob,Bank Transfer
2024-03-19 07:22:45.817626,TV,115.75,North,Eva,Online Payment
2024-08-08 07:22:45.817628,Mouse,315.22,West,Eva,Cash
2024-06-15 07:22:45.817631,TV,51.82,East,Eva,Online Payment
2024-10-21 07:22:45.817633,Keyboard,35.32,West,Alice,Cash
2024-10-20 07:22:45.817636,Mouse,270.36,South,Charlie,Bank Transfer
2024-07-09 07:22:45.817638,TV,274.91,South,Charlie,Credit Card
2024-08-13 07:22:45.817641,Smartphone,322.34,North,Eva,Cash
2024-07-10 07:22:45.817643,Headphones,365.78,North,Eva,Credit Card
2024-08-09 07:22:45.817646,Laptop,488.17,East,Bob,Bank Transfer
2024-05-08 07:22:45.817648,Camera,262.99,West,David,Bank Transfer
2024-09-21 07:22:45.817650,Camera,168.25,West,Alice,Cash
2024-05-27 07:22:45.817653,Headphones,399.64,West,Charlie,Cash
2024-11-25 07:22:45.817657,TV,142.71,West,David,Online Payment
2024-03-15 07:22:45.817660,Smartwatch,225.1,North,Charlie,Cash
2024-08-14 07:22:45.817662,Printer,48.44,North,David,Bank Transfer
2024-03-11 07:22:45.817665,Mouse,22.42,West,David,Credit Card
2024-08-13 07:22:45.817667,Smartphone,481.7,North,Bob,Credit Card
2024-02-07 07:22:45.817670,Tablet,419.63,South,Alice,Bank Transfer
2024-05-31 07:22:45.817672,Keyboard,351.03,North,Charlie,Credit Card
2024-05-06 07:22:45.817675,Mouse,210.39,West,Charlie,Bank Transfer
2024-01-01 07:22:45.817677,Mouse,94.91,East,Charlie,Cash
2024-09-20 07:22:45.817680,TV,86.65,South,Bob,Bank Transfer
2024-10-06 07:22:45.817684,Laptop,132.62,South,Charlie,Online Payment
2024-07-06 07:22:45.817687,Laptop,279.12,West,Alice,Credit Card
2024-04-15 07:22:45.817689,TV,360.15,East,David,Bank Transfer
2024-06-30 07:22:45.817692,Keyboard,333.5,South,David,Cash
2024-08-15 07:22:45.817694,Smartwatch,147.17,West,Eva,Credit Card
2024-09-28 07:22:45.817697,Headphones,477.88,North,Bob,Bank Transfer
2024-07-20 07:22:45.817699,Laptop,371.57,South,Alice,Online Payment
2024-07-20 07:22:45.817702,Camera,281.63,North,Charlie,Online Payment
2024-11-02 07:22:45.817704,Tablet,309.74,South,Alice,Bank Transfer
2024-12-08 07:22:45.817707,Smartphone,215.6,East,Bob,Cash
2024-01-28 07:22:45.817709,Smartphone,131.39,North,Charlie,Online Payment
2024-12-02 07:22:45.817712,Headphones,184.43,South,Eva,Credit Card
2024-12-23 07:22:45.817714,Smartphone,381.34,South,Charlie,Bank Transfer
2024-02-03 07:22:45.817717,Smartphone,17.05,East,Eva,Cash
2024-12-21 07:22:45.817719,Keyboard,66.88,West,Charlie,Cash
2024-03-06 07:22:45.817722,Smartwatch,32.54,North,Eva,Online Payment
2024-02-23 07:22:45.817724,Smartphone,29.96,North,Bob,Credit Card
2024-10-17 07:22:45.817728,Smartphone,429.18,East,Charlie,Cash
2024-07-19 07:22:45.817730,Smartwatch,354.79,South,Charlie,Online Payment
2024-12-13 07:22:45.817733,Printer,242.35,South,David,Cash
2024-12-09 07:22:45.817735,Laptop,57.94,North,David,Online Payment
2024-09-04 07:22:45.817743,Laptop,250.89,North,Bob,Cash
2024-06-11 07:22:45.817746,Camera,242.0,South,Charlie,Online Payment
2024-05-22 07:22:45.817749,Printer,94.87,North,Bob,Bank Transfer
2024-09-06 07:22:45.817751,Headphones,222.59,West,Eva,Bank Transfer
2024-04-10 07:22:45.817753,TV,205.27,North,Charlie,Credit Card
2024-11-06 07:22:45.817756,Tablet,311.77,South,David,Credit Card
2024-01-23 07:22:45.817758,Camera,321.2,South,Alice,Credit Card
2024-01-01 07:22:45.817761,Laptop,32.2,South,Charlie,Online Payment
2024-05-14 07:22:45.817764,Smartphone,193.56,North,Eva,Bank Transfer
2024-11-24 07:22:45.817767,Laptop,316.67,North,Eva,Cash
2024-12-22 07:22:45.817769,Laptop,256.54,North,Alice,Credit Card
2024-07-24 07:22:45.817771,Printer,429.68,West,Charlie,Bank Transfer
2024-06-23 07:22:45.817774,TV,332.76,North,Eva,Online Payment
2024-09-22 07:22:45.817777,Tablet,89.84,South,Charlie,Bank Transfer
2024-07-17 07:22:45.817780,Printer,44.58,South,Alice,Bank Transfer
2024-06-25 07:22:45.817782,Laptop,324.79,West,Eva,Credit Card
2024-09-07 07:22:45.817785,Laptop,22.99,South,Charlie,Cash
2024-08-17 07:22:45.817787,Tablet,297.03,North,David,Cash
2024-04-02 07:22:45.817790,Tablet,470.71,West,Eva,Bank Transfer
2024-05-01 07:22:45.817792,Printer,291.98,West,David,Credit Card
2024-03-14 07:22:45.817795,Smartwatch,200.2,South,David,Cash
2024-11-20 07:22:45.817797,Camera,325.21,West,Bob,Credit Card
2024-04-29 07:22:45.817800,TV,234.54,South,Alice,Online Payment
2024-02-01 07:22:45.817802,Camera,277.35,East,Alice,Credit Card
2024-03-09 07:22:45.817805,Mouse,471.32,North,Bob,Bank Transfer
2024-07-01 07:22:45.817808,Smartwatch,199.19,East,Eva,Cash
2024-10-18 07:22:45.817810,Headphones,480.98,South,Bob,Online Payment
2024-05-24 07:22:45.817812,Headphones,453.62,North,Charlie,Cash
2024-05-16 07:22:45.817815,Keyboard,105.94,South,Alice,Bank Transfer
2024-05-08 07:22:45.817818,Tablet,43.99,South,David,Bank Transfer
2024-09-15 07:22:45.817821,Laptop,59.38,East,Alice,Bank Transfer
2024-01-08 07:22:45.817823,Tablet,18.93,North,David,Bank Transfer
2024-10-25 07:22:45.817826,Tablet,56.28,West,Alice,Online Payment
2024-03-01 07:22:45.817828,Smartwatch,344.67,South,Eva,Online Payment
2024-04-25 07:22:45.817831,Laptop,44.88,North,Alice,Credit Card
2024-01-22 07:22:45.817833,Mouse,166.3,North,David,Credit Card
2024-03-24 07:22:45.817836,Printer,423.99,South,Alice,Credit Card
2024-05-16 07:22:45.817839,TV,21.4,South,Eva,Cash
2024-09-26 07:22:45.817841,Camera,409.09,West,David,Bank Transfer
2024-04-16 07:22:45.817844,Smartphone,148.11,North,Alice,Credit Card
